,Date,Location,Demographic_Category,census,Not_Vaccinated,Administered_Dose1,Series_Complete_Yes
190,2021-12-30,40,34,5320.0,-532.0,5852.0,5537.0
191,2021-12-30,37,34,249586.0,-4607.0,254193.0,231949.0
192,2021-12-30,21,26,133270.0,112983.0,20287.0,11188.0
193,2021-12-30,22,26,1422615.0,1112413.0,310202.0,174778.0
194,2021-12-30,7,42,551889.0,7248.0,544641.0,511869.0
195,2021-12-30,58,42,855303.0,72250.0,783053.0,687611.0
196,2021-12-30,1,44,46045.0,13920.0,32125.0,29214.0
197,2021-12-30,35,44,122369.0,55622.0,66747.0,57282.0
198,2021-12-30,45,32,10846.0,10846.0,0.0,0.0
199,2021-12-30,17,32,817.0,817.0,0.0,0.0
200,2021-12-30,6,37,1271860.0,364958.0,906902.0,733937.0
201,2021-12-30,44,37,3090317.0,1061006.0,2029311.0,1794571.0
202,2021-12-30,57,39,875570.0,106751.0,768819.0,640280.0
203,2021-12-30,52,39,720245.0,69379.0,650866.0,540940.0
204,2021-12-30,2,29,,,406.0,12.0
205,2021-12-30,57,29,,,129.0,0.0
206,2021-12-30,51,41,406780.0,153781.0,252999.0,231047.0
207,2021-12-30,50,41,5991.0,1207.0,4784.0,4332.0
208,2021-12-30,17,38,365.0,54.0,311.0,290.0
209,2021-12-30,21,38,103825.0,4730.0,99095.0,82701.0
210,2021-12-30,6,43,267082.0,-2878.0,269960.0,221362.0
211,2021-12-30,47,43,556934.0,41351.0,515583.0,464664.0
212,2021-12-30,49,45,91417.0,91417.0,0.0,0.0
213,2021-12-30,9,45,16939.0,16939.0,0.0,0.0
214,2021-12-30,18,30,47607.0,47607.0,0.0,0.0
215,2021-12-30,17,30,2012.0,2012.0,0.0,0.0
216,2021-12-30,49,1,226415.0,90570.0,135845.0,110577.0
217,2021-12-30,22,1,1366302.0,357659.0,1008643.0,828062.0
218,2021-12-30,42,28,68152.0,14339.0,53813.0,47539.0
219,2021-12-30,13,28,612440.0,278124.0,334316.0,271592.0
